ID,time,age,gender,student_pref,specialization,teacher_pref
0,2020-08-11 12:07:17-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Educational based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH WHO ARE BEST AND LOVE THE MOST.
1,2020-08-14 20:23:02-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
2,2020-08-14 20:26:08-05:30,20,Male,A TEACHER WHO KNOW ALL CHAPTERS OF A SUBJECT IN AVG.,Educational based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
3,2020-08-14 20:26:59-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Educational based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
4,2020-08-14 20:38:29-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
5,2020-08-14 20:41:18-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
6,2020-08-14 20:41:19-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
7,2020-08-14 20:51:57-05:30,21,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
8,2020-08-14 20:56:17-05:30,19,Male,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
9,2020-08-14 21:06:51-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
10,2020-08-14 21:12:08-05:30,21,Male,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
11,2020-08-14 21:42:46-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
